Schéma;Table;Finalité;Colonne;Type PostgreSQL;Obligatoire;Défaut;Description;Classification;Indexée;Unique;Rétention;Append-only;Partitionnement
ref;reference_value;Valeurs de référentiels historisées.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;;Non;
ref;reference_value;Valeurs de référentiels historisées.;created_at;timestamptz;Oui;now();Horodatage de création.;Interne;Non;Non;;Non;
ref;reference_value;Valeurs de référentiels historisées.;created_by;uuid;Non;;Compte à l’origine de la création.;Restreint;Oui;Non;;Non;
ref;reference_value;Valeurs de référentiels historisées.;updated_at;timestamptz;Oui;now();Horodatage de dernière modification.;Interne;Non;Non;;Non;
ref;reference_value;Valeurs de référentiels historisées.;updated_by;uuid;Non;;Compte à l’origine de la modification.;Restreint;Oui;Non;;Non;
ref;reference_value;Valeurs de référentiels historisées.;version;bigint;Oui;0;Version de verrouillage optimiste.;Interne;Non;Non;;Non;
ref;reference_value;Valeurs de référentiels historisées.;domain;varchar(80);Oui;;Domaine de référence.;Interne;Oui;Non;;Non;
ref;reference_value;Valeurs de référentiels historisées.;code;varchar(80);Oui;;Code stable.;Interne;Non;Non;;Non;
ref;reference_value;Valeurs de référentiels historisées.;label;varchar(255);Oui;;Libellé affiché.;Interne;Non;Non;;Non;
ref;reference_value;Valeurs de référentiels historisées.;sort_order;integer;Oui;0;Ordre d’affichage.;Interne;Non;Non;;Non;
ref;reference_value;Valeurs de référentiels historisées.;active;boolean;Oui;true;Activation.;Interne;Non;Non;;Non;
ref;reference_value;Valeurs de référentiels historisées.;valid_from;timestamptz;Non;;Début de validité.;Interne;Non;Non;;Non;
ref;reference_value;Valeurs de référentiels historisées.;valid_to;timestamptz;Non;;Fin de validité.;Interne;Non;Non;;Non;
ref;number_sequence;Séquences de numérotation métier.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;;Non;
ref;number_sequence;Séquences de numérotation métier.;created_at;timestamptz;Oui;now();Horodatage de création.;Interne;Non;Non;;Non;
ref;number_sequence;Séquences de numérotation métier.;created_by;uuid;Non;;Compte à l’origine de la création.;Restreint;Oui;Non;;Non;
ref;number_sequence;Séquences de numérotation métier.;updated_at;timestamptz;Oui;now();Horodatage de dernière modification.;Interne;Non;Non;;Non;
ref;number_sequence;Séquences de numérotation métier.;updated_by;uuid;Non;;Compte à l’origine de la modification.;Restreint;Oui;Non;;Non;
ref;number_sequence;Séquences de numérotation métier.;version;bigint;Oui;0;Version de verrouillage optimiste.;Interne;Non;Non;;Non;
ref;number_sequence;Séquences de numérotation métier.;sequence_code;varchar(80);Oui;;Code de séquence.;Interne;Non;Oui;;Non;
ref;number_sequence;Séquences de numérotation métier.;prefix_pattern;varchar(120);Oui;;Préfixe et variables.;Interne;Non;Non;;Non;
ref;number_sequence;Séquences de numérotation métier.;current_value;bigint;Oui;0;Dernière valeur attribuée.;Interne;Non;Non;;Non;
ref;number_sequence;Séquences de numérotation métier.;reset_period;varchar(20);Oui;'NEVER';Périodicité de remise à zéro.;Interne;Non;Non;;Non;
iam;user_account;Compte utilisateur applicatif.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;;Non;
iam;user_account;Compte utilisateur applicatif.;created_at;timestamptz;Oui;now();Horodatage de création.;Interne;Non;Non;;Non;
iam;user_account;Compte utilisateur applicatif.;created_by;uuid;Non;;Compte à l’origine de la création.;Restreint;Oui;Non;;Non;
iam;user_account;Compte utilisateur applicatif.;updated_at;timestamptz;Oui;now();Horodatage de dernière modification.;Interne;Non;Non;;Non;
iam;user_account;Compte utilisateur applicatif.;updated_by;uuid;Non;;Compte à l’origine de la modification.;Restreint;Oui;Non;;Non;
iam;user_account;Compte utilisateur applicatif.;version;bigint;Oui;0;Version de verrouillage optimiste.;Interne;Non;Non;;Non;
iam;user_account;Compte utilisateur applicatif.;keycloak_subject;uuid;Oui;;Identifiant du fournisseur d’identité.;Restreint;Non;Oui;;Non;
iam;user_account;Compte utilisateur applicatif.;email;varchar(320);Oui;;Adresse de connexion.;Confidentiel;Non;Oui;;Non;
iam;user_account;Compte utilisateur applicatif.;display_name;varchar(255);Oui;;Nom affiché.;Confidentiel;Non;Non;;Non;
iam;user_account;Compte utilisateur applicatif.;status;varchar(30);Oui;'ACTIVE';État du compte.;Interne;Oui;Non;;Non;
iam;user_account;Compte utilisateur applicatif.;last_login_at;timestamptz;Non;;Dernière authentification.;Interne;Non;Non;;Non;
iam;role;Rôles applicatifs.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;;Non;
iam;role;Rôles applicatifs.;created_at;timestamptz;Oui;now();Horodatage de création.;Interne;Non;Non;;Non;
iam;role;Rôles applicatifs.;created_by;uuid;Non;;Compte à l’origine de la création.;Restreint;Oui;Non;;Non;
iam;role;Rôles applicatifs.;updated_at;timestamptz;Oui;now();Horodatage de dernière modification.;Interne;Non;Non;;Non;
iam;role;Rôles applicatifs.;updated_by;uuid;Non;;Compte à l’origine de la modification.;Restreint;Oui;Non;;Non;
iam;role;Rôles applicatifs.;version;bigint;Oui;0;Version de verrouillage optimiste.;Interne;Non;Non;;Non;
iam;role;Rôles applicatifs.;code;varchar(100);Oui;;Code du rôle.;Interne;Non;Oui;;Non;
iam;role;Rôles applicatifs.;label;varchar(255);Oui;;Libellé.;Interne;Non;Non;;Non;
iam;role;Rôles applicatifs.;privileged;boolean;Oui;false;Indique un rôle privilégié.;Interne;Non;Non;;Non;
iam;permission;Permissions atomiques.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;;Non;
iam;permission;Permissions atomiques.;created_at;timestamptz;Oui;now();Horodatage de création.;Interne;Non;Non;;Non;
iam;permission;Permissions atomiques.;created_by;uuid;Non;;Compte à l’origine de la création.;Restreint;Oui;Non;;Non;
iam;permission;Permissions atomiques.;updated_at;timestamptz;Oui;now();Horodatage de dernière modification.;Interne;Non;Non;;Non;
iam;permission;Permissions atomiques.;updated_by;uuid;Non;;Compte à l’origine de la modification.;Restreint;Oui;Non;;Non;
iam;permission;Permissions atomiques.;version;bigint;Oui;0;Version de verrouillage optimiste.;Interne;Non;Non;;Non;
iam;permission;Permissions atomiques.;code;varchar(120);Oui;;Code de permission.;Interne;Non;Oui;;Non;
iam;permission;Permissions atomiques.;domain;varchar(80);Oui;;Domaine.;Interne;Non;Non;;Non;
iam;permission;Permissions atomiques.;description;text;Oui;;Description.;Interne;Non;Non;;Non;
iam;role_permission;Association rôle-permission.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;;Non;
iam;role_permission;Association rôle-permission.;created_at;timestamptz;Oui;now();Horodatage de création.;Interne;Non;Non;;Non;
iam;role_permission;Association rôle-permission.;created_by;uuid;Non;;Compte à l’origine de la création.;Restreint;Oui;Non;;Non;
iam;role_permission;Association rôle-permission.;updated_at;timestamptz;Oui;now();Horodatage de dernière modification.;Interne;Non;Non;;Non;
iam;role_permission;Association rôle-permission.;updated_by;uuid;Non;;Compte à l’origine de la modification.;Restreint;Oui;Non;;Non;
iam;role_permission;Association rôle-permission.;version;bigint;Oui;0;Version de verrouillage optimiste.;Interne;Non;Non;;Non;
iam;role_permission;Association rôle-permission.;role_id;uuid;Oui;;Rôle.;Interne;Oui;Non;;Non;
iam;role_permission;Association rôle-permission.;permission_id;uuid;Oui;;Permission.;Interne;Oui;Non;;Non;
iam;user_role;Attribution de rôle contextualisée.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;;Non;
iam;user_role;Attribution de rôle contextualisée.;created_at;timestamptz;Oui;now();Horodatage de création.;Interne;Non;Non;;Non;
iam;user_role;Attribution de rôle contextualisée.;created_by;uuid;Non;;Compte à l’origine de la création.;Restreint;Oui;Non;;Non;
iam;user_role;Attribution de rôle contextualisée.;updated_at;timestamptz;Oui;now();Horodatage de dernière modification.;Interne;Non;Non;;Non;
iam;user_role;Attribution de rôle contextualisée.;updated_by;uuid;Non;;Compte à l’origine de la modification.;Restreint;Oui;Non;;Non;
iam;user_role;Attribution de rôle contextualisée.;version;bigint;Oui;0;Version de verrouillage optimiste.;Interne;Non;Non;;Non;
iam;user_role;Attribution de rôle contextualisée.;user_id;uuid;Oui;;Compte.;Interne;Oui;Non;;Non;
iam;user_role;Attribution de rôle contextualisée.;role_id;uuid;Oui;;Rôle.;Interne;Oui;Non;;Non;
iam;user_role;Attribution de rôle contextualisée.;scope_type;varchar(40);Oui;'GLOBAL';Type de périmètre.;Interne;Non;Non;;Non;
iam;user_role;Attribution de rôle contextualisée.;scope_id;uuid;Non;;Identifiant de périmètre.;Interne;Non;Non;;Non;
iam;user_role;Attribution de rôle contextualisée.;valid_from;timestamptz;Oui;now();Début.;Interne;Non;Non;;Non;
iam;user_role;Attribution de rôle contextualisée.;valid_to;timestamptz;Non;;Fin.;Interne;Non;Non;;Non;
iam;user_role;Attribution de rôle contextualisée.;approved_by;uuid;Non;;Second valideur.;Restreint;Non;Non;;Non;
iam;mfa_registration;Facteurs 2FA enregistrés.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;;Non;
iam;mfa_registration;Facteurs 2FA enregistrés.;created_at;timestamptz;Oui;now();Horodatage de création.;Interne;Non;Non;;Non;
iam;mfa_registration;Facteurs 2FA enregistrés.;created_by;uuid;Non;;Compte à l’origine de la création.;Restreint;Oui;Non;;Non;
iam;mfa_registration;Facteurs 2FA enregistrés.;updated_at;timestamptz;Oui;now();Horodatage de dernière modification.;Interne;Non;Non;;Non;
